,user,playtime,user_url,post_date,helpfulness,review,recommend
10,GentlemanGamer,35.7,https://steamcommunity.com/profiles/76561198061124358/,"May 23, 2021",61,['if you get the ffxiii fix recommended in the steam communities runs well and doesn t crash and if you get the hd texture mods from nexus mods looks gorgeous i did both and consequently have been having a ton of fun the paradigm combat system runs better than ever no annoying second transition occurring with your first paradigm shift every battle soundtrack is a real treat probably better than the first one imo and while this is just a personal taste sorta thing some may disagree i really enjoy having serah and noel as protagonists so overall i d recommend the game highly if you re willing to put in the work to get it running doesn t justify how poorly it was optimized to begin with by square but it s at least playable and more importantly enjoyable with some tinkering '],Recommended
11,Ultra God Azgorath,20.0,https://steamcommunity.com/id/UltraGodAzgorath/,"December 26, 2017",63,['i was afraid to buy this game due to all the negative reviews i read regarding bugs and crashing etc etc but i decided to buy it on sale anyway and i was able to play it from beginning to end with cloud saving enabled and with no crashes whatsoever the only problems i encountered were occasional framerate drops and occasional long loading and saving times which i found very minor '],Recommended
12,LucyLost,6.6,https://steamcommunity.com/profiles/76561198247768300/,"April 3, 2018",85,['ur game is crashing this will fix go to ur settings of your graphic card mine is nvidia geforce go to nvidia control panel click manage settings click program settings and add final fantasy from the list that appears select high performance nvidia processor and save ur changes turn off cloud synchronisation with steam in steam search ur computer for file and copy it into the final fantasy folder i just typed and searched it on my computer found it from football manager game doesnt care where u find it just copy it and paste it into folder i never had a single crush again hope this will help some of u guys to play it again '],Recommended
13,"Sekhi, Booper of Snoots",51.9,https://steamcommunity.com/id/snowfae/,"December 16, 2015",66,['update i do tumblr reviews now here s a more in depth look at this one this is important if you buy this game disable steam cloud saves for it this game and the steam cloud don t get along and it causes the game to occasionally crash when it tries to save here s the catch the game autosaves frequently this makes crashes more of an annoyance than anything but also a lot more frequent if you download this game make sure to disable steam cloud saves before you play it otherwise it ll constantly up unless you do some deep down work in your game files and move your save file or start over completely from scratch trust me its worth doing especially since some of the crashes will take steam down with it edit i changed the save settings and played the game for a solid three hours as of now i have not had any crashes at all trust me on this one guys the save file thing will fix most of the technical issues here now then as for the game itself in my opinion this game takes everything that ffxiii did wrong and fixes them no more scrounging for bits to upgrade your weapons slower than molasses no more endless tunnel for the first half of the game the crystal talent tree dealie is a lot easier to use and a lot more fun immediate changes gil and weapons weapon upgrades are a thing of the past you still collect bits but the bits are used to make entirely new weapons at the shop rather than simply rubbing them all over your current ones they re also a lot easier to come by also all enemies drop gil again as they should have done in ffxiii open endedness in extremely stark contrast to ffxiii s endless corridor first half that got so many gamers up in arms this time you play serah and this boy from years in the future named noel as you go all throughout time and space to unravel the mystery of time paradoxes that are plauging grand pulse you unlock new time periods and locations quickly throughout the game and it feels much more immersive than before crystalized monsters so its just serah and noel for your party members but how the hell does that work simple serah can crystalize and command monsters to fight for her remember those bits you d gather off monsters you use them to level up the guys you capture each monster is locked into a specific role cait sith is always medic for example but you can have three ready to fight alongside you at a time in addition each monster has their own feral link attack where you can use a special limit break esque trick with them in the middle of a fight costumes serah and noel both start out with four costumes their default outfits and three extra ones and they unlock more as the game goes on i assume i m not super far yet still makes it more interesting to look at thats for sure your little moogle companion mog also gains about two dozen right from the get go want a little demon moogle how about a cat perhaps a living sentient moogle plushie why not zoidberg give it time it ll get modded in and you know it outside of that here s the basic rundown pros game feels much more immersive and streamlined than before also much more engaging right from the start i went ahead and downloaded the song etro s champion off itunes after hearing it in the opening bits too so the soundtrack is solid if you skipped ffxiii or never finished it then you can watch a beginner s guide that tells the highlights of the ffxiii story and what happened through it it s split up into chapters too so you can skip the bits you already saw if you like no more scraping together gil for weapon upgrades all the monsters drop money now and the weapons are sold pre made though you can save up bits and buy custom weapons with special effects and reduced pricetags since you supplied the parts the crystal tree crystalium crystalum crystalvalium whatever is a lot easier to use now and takes a lot less grinding to get the most out of it cons beware crashes like i said above disable steam cloud saves for this title trust me on this one its not worth it the game can and will crash and burn and take steam down with it nine times out of ten graphics issues may be an issue for some personally i m fine no issues with framerate or anything but i know that was a major issue with ffxiii this game is gorgeous but it ll make your graphics card sweat it s little electronic balls off potential cons combat system is more or less the same as ffxiii if you didn t like it in that game you won t like it here not an issue for me but i know some people complained about the way combat worked in the last game read the beginner s guide if you didn t play ffxiii the game picks up three years after the ending of the last one so if you didn t play it or didn t finish it i don t blame you i liked it but even i ll admit it dragged like hell for a while then you ll be lost unless you do that overall i honestly feel like this is the kind of game that ffxiii should have been it takes what that game did right and improves on it while fixing most if not all of the problems from it if you have the money give it a whirl even if you skipped ffxiii entirely it s worth trying '],Recommended
14,FluffyHornyGloomy,2.1,https://steamcommunity.com/id/FluffyHornyGloomy/,"February 2, 2023",59,[' essential fan fixes patch apply the patch to fix button prompts go to settings on screen button explanations controller type this should enable proper xbox prompts no exit option in game the game uses esc button to exit you can either use the virtual keyboard or add a button to controller in steam input i binded it to select double click the game is badly optimized so expect to use high tdp to hit consistent fps even with on onexplayer mini pro'],Recommended
15,booty hunter,32.0,https://steamcommunity.com/profiles/76561199023541065/,"June 28, 2023",53,['why is no one talking about how good the ost i'],Recommended
16,rayy LMAO,29.1,https://steamcommunity.com/id/kensaiD2591/,"December 25, 2023",33,[' played exclusively on steam deck the pc port of this game isn t great but through whatever magic and voodoo on the steam deck it worked flawlessly initial load times are slow else the game ran great continuing on from where ffxiii left off '],Recommended
17,narfkeks,4.2,https://steamcommunity.com/profiles/76561198112473383/,"December 19, 2021",52,['this is moreso a technical review than one of the game s actual qualities in case you want an actual review of the game itself please read some of the other great reviews i really love the game but it sure isn t for everyone but i want to talk about why you should not buy this game until square enix finally patches it i collected data from multiple friends and combined those data with my own experience and general performance reports the game is a technical mess and does not fit any even slightly modern hardware it runs very unstable with horrible frame pacing and dropping frames everywhere on pretty much any hardware and runs fully on a single core of your cpu which leads not only to very strange performance if it works but it leads to the fact that the game very often just doesn t work on modern pc s with more than cpu cores at all furthermore it is really unstable if ran on anything but windows even the officially supported windows is a crapshoot my personal experience i can t even get past the second boss fight right at the beginning of the game as it crashes right after every single time no matter the settings listed at the end of this review in conclusion final fantasy has become infamous for being probably one of the worst pc ports in the last years and square enix does not care and in fact they still roll out bad pc ports to this day like world of final fantasy nier automata or the just recently released final fantasy vii remake which has barely any grafical settings horrible frame pacing and frequent stutters and they want you to pay for in on top of that square enix has to start respecting their customers but if people keep buying their broken pc ports they won t have any reason to do so so please don t buy broken pieces of like final fantasy and rather invest your money in games from studios that actually care about delivering high quality products my specs cpu ryzen radeon rx tb sandisk gb ram'],Not Recommended
18,RPG Gamer Man,60.6,https://steamcommunity.com/profiles/76561198013723081/,"July 27, 2021",48,['hello friends today i will be reviewing game final fantasy the game is the second in the lightning saga this game is buggy though warning i installed the patch which can be found under the sticky post in the community forums if your experiencing any type of bugs in the game mainly crashes to desktop of pc try using this patch be aware every pc is different and may not fix your issues it did fix my issues for the most part sadly this port is horrible on pc i recommend playing on a console if you can but if you do not have access to a console with it on buy it on sale anyways here is my pro con list pros note you will experience bugs but follow my instructions below and try your game and see if it works if you have any issues only install the after you experienced bugs in the game you get to play as lightning s sister sarah new characters and new enemies continuation of the game from ff i sugggest playing ff first to understand the game as some of the story plots involve things from the first game in the trilogy new mechanics and a new moogle friend time traveling paradox endings multiple endings cons install the patch provided under this link that really saved my game even with the above patch you may experience other issues like stuttering during cutscenes i had this in my game but only minor ones i recommend only getting this game if you get the whole trilogy of lightning series games also due to this bad port you may be required to fix it to actually play it with a patch also i suggest getting it on sale it goes on sale quite a bit so wait to buy it on sale '],Recommended
19,Mike da Waifu,12.3,https://steamcommunity.com/id/slippingstones/,"March 16, 2022",38,['i m going to drop this here in case anyone finds it i m using ubuntu as my operating system this game runs flawlessly through ge proton compared to the windows variant that is an absolute dxvk async in the executable variable on steam if you want you can change dxvk async to for less stuttering at the cost of frames the game is hard capped at so it s not really a huge deal to run it at instead when i attemped to play this game on windows as the top review says it s a technical nightmare you have to edit the registry to even get the game to launch then you have to patch the exe to use more memory or the game runs out resulting in a crash even after all of that you ll average a stuttery fps and experience numerous crashes linux is getting way more popular and this series is fantastic if you ever wanted to make the switch for gaming purposes we re in a revolutionary time with the release of the steam deck have fun '],Recommended
20,Dimitri Escoffier,86.3,https://steamcommunity.com/id/smoke-weed/,"October 25, 2022",49,['completely playable if you follow this guideedit i just put in near hours no crashing ever was a really enjoyable experience i ve only encountered one minor issue and that s with chocobo racing the camera stutters as it follows your bird but other than that i ran at fps with zero performance issues it works people im off to it '],Recommended
21,Ikkabotz,14.9,https://steamcommunity.com/profiles/76561198038905471/,"November 22, 2015",115,['what worked for me download the frame rate unlocker note ensure you apply the tool to the correct pathway for the game file d final fantasy or something similar to this the important part is to not apply the tool to the launcher and select frame rate unlocker number make a backup of your game file toosetting all features in nvidia inspector or nvidia control panel to use application settings this includes refresh rates on monitor aa pre rendered frames etc after reading lots and lots of forums that s my simple version for a solution '],Recommended
22,Miro Laaksonen,71.2,https://steamcommunity.com/profiles/76561198033156135/,"January 16, 2015",62,['final fantasy is practically free of the issues that people generally have with xiii meaning that if you didn t like the original game there just might be a chance that could still be for you the game is not linear the combat system is slightly improved and the game introduces multiple new systems and features such as paradigm pack traveling through different time periods multiple unlockable endings and throwing moogles around to your heart s content traditional world map system is replaced with historia crux a series of connected time gates you can use to access different areas and visit them in different time periods while the game does re use multiple areas most of them feel relatively fresh thanks to visiting them in different time periods completionists might also be glad to hear that it is possible to close and reopen these time gates which allows you to redo any part of the game again after finishing it meaning that there s no missable content i found the whole time travel thing a fairly solid system kind of similar to what chrono trigger had paradigm battle system is still around but this time they have introduced some new mechanics such as paradigm pack which is a system that allows you to capture different monsters you encounter and use them as your third party member it s kind of like pokemon and there s even a fragment that rewards you for catching them all it is a nice addition to the game as it s adds an extra layer of customization to your party one other improvement the combat system received was an ability to change your party leader during fights which i very much welcomed the difficulty of the game though compared to ffxiii was bit low for my taste but this is partly redeemed by the coliseum dlc included with the pc version the story continues from where final fantasy xiii left except that there s a twist lightning is gone i won t spoil any plot detail s but i ll give you a brief and vague synopsis of the beginning if you don t care feel free to skip this paragraph the game starts when this guy called noel who is from the future arrives to new bodhum meets serah lightning s sister from the original game and together they set to search lightning through these time gates which nobody really knows how they appeared in the first place of course all this gets explained later and my synopsis is terrible anyway of course this is a final fantasy game and naturally later down the road you find yourself trying to save the world from the villain who i must add is one of the best villains final fantasy games have ever had the story did feel very vague and not particularly interesting in my opinion during the first four chapters which there is six but it improves once you reach the fifth chapter characterwise serah and noel are both decent enough main characters i didn t find neither of them particularly interesting but they did the job at least serah is in my opinion much better main character than lighting was whom i simply found incredibly dull however one character that really stands out is caius ballad the main villain of the game once the story develops it becomes evident that he actually has a very clear and understandable motive for what he is doing and for a villain he actually ends up being really likeable i didn t personally like the soundtrack of the game very much but stuff like this is very very subjective and it seems that there is a great deal of people who really do enjoy it so your opinion might vary i ll just say that the game uses lots of vocal tracks some of which i found actually pretty good but they just didn t work as background music of a video game very well in my opinion japanese ending song yakusoku no basho is really good though and so probably is the english one as it s the same song with different arrangement and singer one more thing i d like to point out about the audio side of things is that i didn t really like the sound balance the sound effects were too loud and background music bit too quiet for my preferences this of course would not be a problem if the game had audio options but sadly it doesn t unlike ffxiii has tons of side quests and content you can do most of which is quite good damn it all those oerba puzzles and academia quizzes the pc version also comes with all the dlc aside from few costumes coliseum dlc has series of very difficult battles against few classic final fantasy bosses there s even ultros which offers you a nice end game challenge after you have beaten the base game lightning s dlc is kind of a prologue to the sequel lightning returns and then there s sazh s dlc which i sadly found to be a waste of time okay a final fantasy is a solid entry to final fantasy series it has some flaws but overall it s a good game however it s definitely not the best final fantasy out there nor is it a good introduction to the series if you are looking to get into final fantasy games and happened to see this in steam i d recommend to start with say final fantasy ix vii or even v or vi first still it s a good game and i do recommend it if you like jrpgs in general and do want to give newer final fantasies a bash the story is also relatively standalone so you can play it even if you haven t played final fantasy xiii and don t feel like playing that first one more thing i said nothing about the pc port because at this point probably everyone knows that it s well not very good and there s tons of other reviews that do that already if you do happen to for some obscure reason care what i have to say about it you can check my final fantasy xiii review where i rambled about it somewhat extensively it s not the same game of course but the port is almost identical except that it somehow runs still bit worse than xiii did '],Recommended
23,BSuntastic,37.9,https://steamcommunity.com/profiles/76561198070553199/,"December 23, 2022",37,['before playing this game look at the article on the community hub called something along the lines of patching and fixing and follow the instructions to the letter i did that and the only technical issue i ran into was noel had some wierd chicken legs in a single shot of a single cutscene having to manual patch this game aside this truly stands out as one of the better final fantasys improving on everything its predecessor fell short on the antagonist took me some time to understand but every time i fought him it truly felt like an exciting mortal combat the time travel aspect was completely unexpected to me but it does a good job of keeping it relatively simple each time period is essentially a level and the story helps you understand the significance of most eras cons the dlcs are boring szazh has a dlc that is just gambling and finding chocobos in a very small level snows is just a battle simulator and the one that hides the true ending is basically just a challenge battle between lightning and caius which to be fair is the most interesting one i just didn t have the patience to fight one looooong battle over and over again till i won as far as the main game the story can be confusing but i feel like its waaaaay better in a moment to moment basis than og great game if you kinda enjoyed but it felt kinda like a drag you definitely owe it to yourself to give this game a shot especially when it can go on sale for like bucks '],Recommended
24,Lobelia,125.3,https://steamcommunity.com/id/Lobelia_cardinalis/,"February 19, 2020",31,['be sure to turn steam cloud saving off it tends to crash the game overall a great game '],Recommended
25,galumn,77.6,https://steamcommunity.com/id/galumn/,"June 23, 2022",69,['in nhk held a large national final fantasy poll in japan and came at place and looking at steam achievement stat half of players just quit playing around after the first boss fight after completed the game myself i can now understand why during my playthrough i also wanted to quit playing several times but i had to force myself to finish this game because i know that this is a game that i shall never want to story feel more like a fanfiction of not something you would expect as a proper sequel it retcons a lot of what that had been established in original xiii like story lore and characters personalities combat is even more restrictive than original xiii your party member is now replaced with a captured monster each monster has its own set of roles and abilities and you can only switch up to monsters in battle that means during paradigm shift your party member can only switch at most between roles in original xiii every party members have access to all roles for paradigm shift party member ai is a downgrade from original xiii my major complaint is that ai always try to move themselves closer to enemies oftentimes they just walk right into active enemies aoe attacks in original xiii any party member that caste magic or use projectiles would stay away from enemies so they would be unlikely to get attacked and they added quick time event into combat system boss fights and special abilities now have big buttons prompts on screen the port quality of this pc version is abysmal you will encounter issues regardless of your pc hardware you might believe that your pc can handle this game you might believe that high and stable fps would be easily achievable because this is a game and you have the latest current year hardware and you would be dead wrong it s like this pc port was intentionally designed to withstand technological advancement to make sure that this game will always run poorly on any pc hardware past present or future fluctuated fps and frequent stutters are common even with community made fixes also there is no volume control and this game music is obnoxiously much louder than dialogues the only way to adjust music volume is to use a mod to change music files directly if you still want to buy this game do it with low expectation so that your first impression with this game might not be too disappointing '],Not Recommended
26,LockeProposal,48.6,https://steamcommunity.com/id/LockePro/,"October 22, 2015",212,[' cinematic action sequences much more open ended play style not nearly as linear as its predecessor jumping between different locations throughout different time periods offers a refreshing amount of environmental variety plenty of optional boss monsters side quests to keep the player invested much more replayable than final fantasy xiii dialogue trees help the plot to feel a bit more interactive battle system is almost a carbon copy of xiii s therefore it is absolutely outstanding monster taming adds refreshing novelty to battle encounters is very well implemented environments are gorgeous and meticulously design as always the game boasts excellent voice acting occasionaly campy dialogue notwithstanding but that s hardly the fault of the voice actors boasts a generally competent story if a bit convoluted well written but feels slightly divorced from the narrative of the original display options are somewhat limited particularly for users who choose not to play in full screen mode active time events ate are used to a moderately heavy degree felt both unnecessary and gimmicky overall an unwelcome addition not notably well optimized occasional framerate drop'],Recommended
27,ƜΞϯƧŮɨȾ,8.0,https://steamcommunity.com/profiles/76561198067188973/,"September 18, 2022",25,['steam deck review note this port is unplayable on non steam deck pcs do not recommend the fps limiter and cpu clock fixing on the deck make it playable but still flawed how to make it run best on steam deck enable gamepad in the startup launcher needs touchscreen set framerate refresh rate to fps important set gpu clock to fixed this enabled the game will speed up slow down whenever new assets load all the time this minimizes it still expect regular brief slowdown at the start of cinematics and some battles it runs ok but the slowdown is unavoidable looks great and runs well at times regular loading framerate drops may ruin it for you or be a minor annoyance verdict recommend if you like the game don t have or xbox series or want to play on the gogreat on the go monster collecting time travel nonsense but not the best way to play if you have a xbox series has the same issues but less so and is second best native steam on a pc is unplayably bad due to uncontrolled framerate spikes dips and steamdeck plays like the xbox series port with bigger shader cache framerate drop issues '],Recommended
28,Lars,62.2,https://steamcommunity.com/id/Hybel/,"February 28, 2017",22,['despite the long list of issues i have with this game i ve still had an overall good time playing it i really liked xiii and gave me some of the continuation i ve been craving if you were a fan of xiii hey we exist don t judge you are probably going to get some value out of this game as well i really like the dynamic and fluid style of battle in the xiii games and i enjoyed returning to it a good while after i initially played xiii on my it is strangely satisfying to watch your characters and monsters get gradually stronger over the course of the game as well as hunting monsters to tame and figuring out what to do with them bad port not a bad game i do cautiously recommend but perhaps get it for your console instead of steam if at all possible if you do play it on pc i strongly recommend using your gpu drivers or party app to cap your framerate to to avoid the wild fluctuations it does suck but at least you won t get sick i also recommend playing with a controller if you have one and if you haven t played xiii yet definitely start there before you pick this one up if you don t turn off steam cloud saving for this game you can expect extreme load times and having the game crash to desktop in closing i want to have it pointed out that a lot of the negative reviews on steam for this game seems to be because of crash issues which i m sure could have resolved in the majority of the cases if they disabled the abovementioned cloud sync i m not making excuses for the horrid port quality here but the game should at least run without crashing for most players '],Recommended
29,eranajz,83.6,https://steamcommunity.com/profiles/76561198153188889/,"February 11, 2019",34,['the final fantasy xiii trilogy were the first final fantasy games i ever played i fell absolutely in love with the franchise and this trilogy in particular the characters are complex and layered the story intense and nuanced and the game play itself is fast paced and fun if admittedly a little on the easy side i ve never understood the hate this trilogy gets from the ff fandom and i m grateful that i played all three before knowing anything about said hate i found in particular to be a fantastic game caius is a fascinating bad guy with a motive i couldn t help but sympathize with and the relationships between serah and noel serah and yuel and noel and caius were all interesting to me the graphics in this game are absolutely breathtakingly beautiful and personally i preferred the style here to the more realistic look of if you re a fan of final fantasy i d recommend giving this series a try and when doing so ignore the negativity floating around and instead judge it for yourself you just may be pleasantly surprised '],Recommended
